INFO:DLIB: Writing log to: ./log.txt
INFO:ENGINE: Loading data from: build/default
INFO:ENGINE: Initialised sound device 'default'

DEBUG:SCRIPT: load main
DEBUG:SCRIPT: url: [main:/screens#proxy_mainMenu]	 loaded
DEBUG:SCRIPT: Loaded existing save state!
INFO:DLIB: SSDP: Started on address 192.168.178.26
DEBUG:SCRIPT: clicked start
DEBUG:SCRIPT: start game
DEBUG:SCRIPT: load lobby
DEBUG:SCRIPT: url: [main:/screens#proxy_lobbyView]	 loaded
DEBUG:SCRIPT: Loaded existing save state!
DEBUG:SCRIPT: table["characters"][1] = "Lexwin"
DEBUG:SCRIPT: table["characters"][2] = "None"
DEBUG:SCRIPT: table["characters"][3] = "None"
DEBUG:SCRIPT: table["characters"][4] = "None"
DEBUG:SCRIPT: table["characters"][5] = "None"
DEBUG:SCRIPT: start quest
DEBUG:SCRIPT: load game
DEBUG:SCRIPT: url: [main:/screens#proxy_gameView]	 loaded
DEBUG:SCRIPT: table[1]["idSp2"] = 19740
DEBUG:SCRIPT: table[1]["defenseid"] = 12774
DEBUG:SCRIPT: table[1]["idSp1"] = 133
DEBUG:SCRIPT: table[1]["attackid"] = 10837
DEBUG:SCRIPT: Player 1 waiting
DEBUG:SCRIPT: Turn Player 1
DEBUG:SCRIPT: clicked Attack for P1
DEBUG:SCRIPT: boss
DEBUG:SCRIPT: table["stats"]["ap"] = 0
DEBUG:SCRIPT: table["stats"]["basehp"] = 150
DEBUG:SCRIPT: table["stats"]["battle"]["hitRecently"] = 0
DEBUG:SCRIPT: table["stats"]["blockValue"] = 50
DEBUG:SCRIPT: table["stats"]["armor"] = 5000
DEBUG:SCRIPT: table["stats"]["resMax"] = 100
DEBUG:SCRIPT: table["stats"]["level"] = 63
DEBUG:SCRIPT: table["stats"]["attr"]["sta"] = 100
DEBUG:SCRIPT: table["stats"]["attr"]["str"] = 20
DEBUG:SCRIPT: table["stats"]["attr"]["agi"] = 0
DEBUG:SCRIPT: table["stats"]["attr"]["spr"] = 0
DEBUG:SCRIPT: table["stats"]["attr"]["int"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["holy"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["holy"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["shadow"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["shadow"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["frost"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["frost"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["phy"]["max"] = 100
DEBUG:SCRIPT: table["stats"]["schools"]["phy"]["min"] = 100
DEBUG:SCRIPT: table["stats"]["schools"]["arcane"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["arcane"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["fire"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["fire"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["nature"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schools"]["nature"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["crit"] = 5
DEBUG:SCRIPT: table["stats"]["resist"]["holy"] = 100
DEBUG:SCRIPT: table["stats"]["resist"]["frost"] = 250
DEBUG:SCRIPT: table["stats"]["resist"]["shadow"] = 999
DEBUG:SCRIPT: table["stats"]["resist"]["arcane"] = 200
DEBUG:SCRIPT: table["stats"]["resist"]["fire"] = 0
DEBUG:SCRIPT: table["stats"]["resist"]["nature"] = 150
DEBUG:SCRIPT: table["stats"]["icon"] = "hws010"
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["holy"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["holy"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["shadow"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["shadow"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["frost"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["frost"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["phy"]["max"] = 100
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["phy"]["min"] = 100
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["arcane"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["arcane"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["fire"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["fire"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["nature"]["max"] = 0
DEBUG:SCRIPT: table["stats"]["schoolsRanged"]["nature"]["min"] = 0
DEBUG:SCRIPT: table["stats"]["mpRegen"] = 0
DEBUG:SCRIPT: table["stats"]["hpRegen"] = 0
DEBUG:SCRIPT: table["stats"]["avoidance"]["dodge"] = 5
DEBUG:SCRIPT: table["stats"]["avoidance"]["block"] = 5
DEBUG:SCRIPT: table["stats"]["avoidance"]["parry"] = 5
DEBUG:SCRIPT: table["stats"]["sAp"] = 0
DEBUG:SCRIPT: table["stats"]["rAp"] = 0
DEBUG:SCRIPT: table["stats"]["race"] = "Mechanical"
DEBUG:SCRIPT: table["stats"]["baseRes"] = 0
DEBUG:SCRIPT: table["stats"]["hpCurrent"] = 150
DEBUG:SCRIPT: table["stats"]["hpMax"] = 150
DEBUG:SCRIPT: table["stats"]["resCurrent"] = 0
DEBUG:SCRIPT: table["stats"]["name"] = "Dummy"
DEBUG:SCRIPT: table["stats"]["sCrit"] = 5
DEBUG:SCRIPT: table["abilities"][1]["attr"] = "STR"
DEBUG:SCRIPT: table["abilities"][1]["id"] = 1
DEBUG:SCRIPT: table["abilities"][1]["targets"] = "RANDOM:1:{2,4}"
DEBUG:SCRIPT: table["abilities"][1]["element"] = "PHY"
DEBUG:SCRIPT: table["abilities"][1]["cast"] = 5
DEBUG:SCRIPT: table["abilities"][1]["mult"] = 100
DEBUG:SCRIPT: table["abilities"][1]["type"] = "Melee"
DEBUG:SCRIPT: table["abilities"][1]["name"] = "Punch"
DEBUG:SCRIPT: table["abilities"][1]["elemtype"] = "NAT"
DEBUG:SCRIPT: table["abilities"][2]["attr"] = "AGI"
DEBUG:SCRIPT: table["abilities"][2]["id"] = 2
DEBUG:SCRIPT: table["abilities"][2]["targets"] = "ALL"
DEBUG:SCRIPT: table["abilities"][2]["element"] = "PHY"
DEBUG:SCRIPT: table["abilities"][2]["cast"] = 4.5
DEBUG:SCRIPT: table["abilities"][2]["mult"] = 200
DEBUG:SCRIPT: table["abilities"][2]["type"] = "Melee"
